id_contratante,data_hora_analise,total_de_skus,total_sku_com_historico_>_1_ano,percent_sku_com_historico_>_1_ano,total_sku_com_historico_<_1_ano,percent_sku_com_historico_<_1_ano,total_sku_com_estoque_zero,percent_sku_com_estoque_zero,total_sku_com_estoque_positivo,percent_sku_com_estoque_positivo,custo_total_estoque_positivo,total_sku_com_estoque_negativo,percent_sku_com_estoque_negativo,custo_total_estoque_negativo,total_sku_inativo_(estoque_>_0),percent_sku_inativo_(estoque_>_0),custo_total_inativo_(estoque_>_0),total_sku_inativo_(estoque_<=_0),percent_sku_inativo_(estoque_<=_0),total_sku_ativo_(estoque_>_0),percent_sku_ativo_(estoque_>_0),custo_total_ativo_(estoque_>_0),total_sku_ativo_(estoque_<=_0),percent_sku_ativo_(estoque_<=_0),total_sku_nao_comercializado_(estoque_>_0),percent_sku_nao_comercializado_(estoque_>_0),custo_total_nao_comercializado_(estoque_>_0),total_sku_nao_comercializado_(estoque_<=_0),percent_sku_nao_comercializado_(estoque_<=_0),total_sku_verificados,total_sku_consistentes,percent_sku_consistentes,total_sku_inconsistentes,percent_sku_inconsistentes,total_sku_grupo_a,total_sku_grupo_b,total_sku_grupo_c,percent_sku_grupo_a,percent_sku_grupo_b,percent_sku_grupo_c,total_venda_grupo_a,total_venda_grupo_b,total_venda_grupo_c,percent_venda_grupo_a,percent_venda_grupo_b,percent_venda_grupo_c,cobertura_em_dias_grupo_a,cobertura_em_dias_grupo_b,cobertura_em_dias_grupo_c
1,2025-03-01T09:00:00,10000,4000.0,40.0,6000.0,60.0,6000.0,60.0,4000.0,40.0,500000.0,500.0,5.0,80000.0,2500.0,25.0,300000.0,4000.0,40.0,1500.0,15.0,150000.0,1000.0,10.0,1500.0,15.0,100000.0,1000.0,10.0,10000.0,9200.0,92.0,800.0,8.0,1000.0,3000.0,6000.0,10.0,30.0,60.0,400000.0,300000.0,100000.0,50.0,37.5,12.5,250.0,200.0,150.0
1,2025-03-02T09:00:00,10000,3969.144070394797,39.69,6030.8559296052035,60.31,6117.152961628928,61.17,3882.847038371072,38.83,503527.4924377239,466.09293823524615,4.66,81788.28333497696,2492.4487644425526,24.92,297552.4188094151,3966.43269170139,39.66,1390.0,13.9,156980.4625828425,1007.2110007129548,10.07,1504.971930890336,15.05,99650.2309827037,1003.3878052013238,10.03,10000.0,9207.671373607753,92.08,792.3286263922473,7.92,999.087235580454,2997.801554073657,6003.11121034589,9.99,29.98,60.03,396168.65826734994,301098.64241076965,99556.9737042407,49.72,37.79,12.49,257.02776037924633,208.25223907636055,155.0271692319368
1,2025-03-03T09:00:00,10000,3981.857025462741,39.82,6018.142974537259,60.18,5946.808783063216,59.47,4053.191216936784,40.53,488757.0887986002,437.309197013932,4.37,80838.74697044835,2481.096787973133,24.81,289394.2268392001,3866.595532667941,38.67,1572.0,15.72,157174.18914053502,1000.435474474778,10.0,1495.8275508844413,14.96,104774.07365109868,1007.6342815438744,10.08,10000.0,9202.993368108982,92.03,797.0066318910176,7.97,1004.4946945748746,2968.3141722922114,6027.191133132914,10.04,29.68,60.27,406911.9904762199,298219.481155949,99051.09737757698,50.6,37.08,12.32,253.20561797665368,212.20549675339183,155.27403334265676
1,2025-03-04T09:00:00,10000,3964.794919168061,39.65,6035.20508083194,60.35,5855.7448634627435,58.56,4144.2551365372565,41.44,480027.498025928,441.6944452102607,4.42,83638.53260576013,2537.4488208431653,25.37,290663.9213890445,3768.339565062432,37.68,1606.0,16.06,154421.7465953303,994.1251732635508,9.94,1505.6092556252468,15.06,106706.92839450316,1010.6289618681034,10.11,10000.0,9225.189630933972,92.25,774.8103690660282,7.75,983.4614491472151,2958.8536899910387,6057.6848608617465,9.83,29.59,60.58,406825.49655204074,296531.67446518736,95501.67427973132,50.93,37.12,11.95,258.07631434881216,213.4088736612753,153.00412044536168
1,2025-03-05T09:00:00,10000,3919.4860645699223,39.19,6080.513935430077,60.81,5887.752911348954,58.88,4112.247088651046,41.12,465399.27665032906,434.9860310711163,4.35,82686.17765012707,2489.9140635459667,24.9,281920.3598137844,3765.664905134704,37.66,1622.0,16.22,157520.35912890692,1013.8964991940052,10.14,1526.4485757739426,15.26,103865.01233264984,1021.5258758073006,10.22,10000.0,9227.17613460038,92.27,772.8238653996214,7.73,991.5242632518572,2949.7148374018975,6058.760899346245,9.92,29.5,60.59,404098.74841575505,300649.1509171214,95488.57612680584,50.5,37.57,11.93,260.85070293007146,211.4362176990395,158.8394216185201
1,2025-03-06T09:00:00,10000,3896.26270569324,38.96,6103.73729430676,61.04,5695.189387727165,56.95,4304.810612272835,43.05,473167.90349253453,446.7436341455814,4.47,81840.8395824988,2518.8518074141507,25.19,296254.65523912583,3798.2495208285536,37.98,1785.0,17.85,158720.09798434173,1013.149170491322,10.13,1483.2931026404854,14.83,103498.7104856554,1023.048098683832,10.23,10000.0,9230.569665677504,92.31,769.4303343224947,7.69,987.832572685609,2962.163327163184,6050.004100151207,9.88,29.62,60.5,404635.0672006061,303028.4243026679,93746.84349841984,50.49,37.81,11.7,260.47515287361495,212.05763275047136,157.8194169677181
1,2025-03-07T09:00:00,10000,3925.299946878464,39.25,6074.700053121536,60.75,5530.413202380492,55.3,4469.586797619508,44.7,483955.9370541042,444.92394657347006,4.45,82058.64073016807,2488.882518082366,24.89,292162.54118655325,3794.762217517756,37.95,1980.0,19.8,163568.2309869885,1004.3433101382108,10.04,1461.0446960762758,14.61,104801.93042944052,1029.3965431333695,10.29,10000.0,9245.458070238616,92.45,754.5419297613844,7.55,1005.004212679537,2970.796516439096,6024.199270881366,10.05,29.71,60.24,402485.3030744626,300994.647426982,93330.0277305014,50.51,37.77,11.71,256.05988643888554,208.906778327382,160.25024815364938
1,2025-03-08T09:00:00,10000,3916.643728203708,39.17,6083.356271796292,60.83,5567.846512429265,55.68,4432.153487570735,44.32,470288.66082725103,414.27938203119606,4.14,84866.55762116013,2456.7408258553182,24.57,303993.86351615266,3687.424636925409,36.87,1975.0,19.75,161357.1346136101,998.3307088057188,9.98,1482.0369786817869,14.82,104172.37964509442,1034.3131277549146,10.34,10000.0,9233.825718447131,92.34,766.1742815528687,7.66,1008.828143417934,2966.444857542306,6024.72699903976,10.09,29.66,60.25,403448.2212310031,299100.4726871467,93903.79826390908,50.66,37.55,11.79,264.90025984330725,215.06737502664805,161.27420177419694
1,2025-03-09T09:00:00,10000,3895.218883750968,38.95,6104.781116249032,61.05,5761.453974305221,57.61,4238.546025694779,42.39,475976.6391581889,425.7069345614656,4.26,83166.12846594983,2489.0147500746757,24.89,297350.20204512664,3673.729986208002,36.74,1749.0,17.49,169273.8583213186,992.0103852691498,9.92,1477.4014569008327,14.77,101740.6699872939,1036.1962876020852,10.36,10000.0,9234.85178916776,92.35,765.1482108322398,7.65,1008.4089788848228,2951.376549997449,6040.214471117728,10.08,29.51,60.4,409288.830619027,298844.02225485427,98065.53176990993,50.77,37.07,12.16,258.3918345038536,226.08802037101128,158.69730139307512
1,2025-03-10T09:00:00,10000,3874.6080292436463,38.75,6125.391970756354,61.25,5722.725588144475,57.23,4277.274411855525,42.77,484949.0700517024,450.44703865756446,4.5,81576.24580119038,2506.91122055966,25.07,294804.6962832019,3718.6337870604775,37.19,1770.0,17.7,167291.7587515764,986.5113868642316,9.87,1477.760915134486,14.78,102871.28328475308,1036.2632749919974,10.36,10000.0,9249.000360548314,92.49,750.9996394516857,7.51,1008.6796786892912,2940.5107277046227,6050.809593606085,10.09,29.41,60.51,412824.20728337154,297128.7977151995,94673.82086252824,51.31,36.93,11.77,259.6644424826487,237.4489764823389,152.89667781951408
